	Hfq_30_II_cutadapt_bwa	Hfq_30_I_cutadapt_bwa	Hfq_60_II_cutadapt_bwa	Hfq_60_I_cutadapt_bwa	Hfq_lambda_30_II_cutadapt_bwa	Hfq_lambda_30_I_cutadapt_bwa	Hfq_lambda_60_II_cutadapt_bwa	Hfq_lambda_60_I_cutadapt_bwa	wt30_II_cutadapt_bwa	wt30_I_cutadapt_bwa	wt_lambda_30_II_cutadapt_bwa	wt_lambda_30_I_cutadapt_bwa
phnC	1	0	2	0	0	1	0	1	0	0	2	0
phnD	1	0	4	8	2	3	1	5	0	0	2	0
phnE	0	0	1	1	0	0	0	1	0	0	0	0
phnF	1	0	1	0	1	1	0	4	0	0	0	0
phnG	0	0	0	1	0	0	0	2	0	0	0	0
phnH	1	2	3	0	1	1	1	3	0	0	0	0
phnI	2	4	8	6	0	3	1	2	0	0	0	0
phnJ	1	1	3	6	1	3	2	10	0	0	0	0
phnK	3	6	1	8	2	3	4	5	0	0	0	0
phnL	1	4	2	1	0	3	1	4	0	0	0	0
phnM	17	13	12	8	7	11	7	7	1	2	0	0
phnN	8	17	10	8	11	7	4	13	0	0	1	0
phnO	37	40	24	19	33	40	10	25	0	1	1	0
phnP	53	36	30	18	25	36	15	27	0	2	0	0
phoA	452	458	520	486	355	519	370	552	2	1	2	2
phoB	144	164	177	151	98	127	121	202	2	0	0	0
phoE	23	23	27	22	38	36	23	22	0	0	0	0
phoH	117	122	55	57	83	116	50	119	1	3	0	0
phoP	753	798	703	589	682	872	479	957	4	2	2	3
phoQ	877	907	770	666	713	946	462	1087	8	15	1	3
phoR	196	230	214	166	128	194	143	252	3	2	2	0
phoU	78	83	127	127	33	71	106	268	4	3	1	0
php	24	19	21	21	15	12	17	22	1	0	0	0
phr	189	313	83	80	136	252	56	145	4	9	2	1
pinE	1	3	6	6	5	1	0	5	0	0	0	0
pinH	0	0	0	0	0	0	2	3	0	0	0	0
pinQ	499	873	579	462	487	982	397	1110	3	1	1	1
pinR	398	664	562	370	446	710	384	1091	7	1	0	0
pitA	1537	1545	2478	2334	1113	1450	2129	2921	17	12	9	10
pitB	13	12	12	13	17	14	19	22	0	0	0	0
plaP	53	45	403	353	47	81	358	533	2	0	0	0
plaR	177	132	244	207	188	171	192	289	0	3	3	0
pldA	79	98	144	103	58	103	147	256	1	1	2	1
pldB	824	850	770	707	607	791	567	1032	9	6	3	3
pliG	144	175	66	70	112	140	66	138	1	0	2	0
plsB	2231	2371	2190	2077	1573	2255	1444	3471	37	49	17	15
plsC	228	378	445	351	182	314	292	813	9	7	1	0
plsX	374	639	1319	1278	342	592	860	2437	22	28	12	5
plsY	257	268	492	380	181	254	205	409	3	3	1	3
pmrD	98	108	206	211	69	103	135	239	0	0	0	0
pmrR	59	72	41	36	28	40	33	79	0	6	1	0
pncA	98	125	232	181	85	100	176	365	2	0	0	0
pncB	591	662	1112	817	505	760	623	1576	12	12	4	3
pncC	103	97	181	144	96	95	94	258	4	0	0	0
pnp	2880	3911	3799	3827	1944	3549	2529	8053	146	200	53	60
pntA	736	1035	978	1021	549	787	921	1606	17	17	4	4
pntB	1123	1472	1323	1461	707	1063	880	2132	27	32	14	9
pnuC	184	292	262	238	135	225	119	284	2	4	0	0
polA	4743	7386	5887	6394	2936	5884	3033	10755	84	72	8	22
polB	577	824	515	527	435	661	341	810	6	18	9	3
potA	184	235	531	407	116	227	352	893	14	13	1	1
potB	75	83	233	175	61	80	183	333	2	3	1	1
potC	126	119	548	425	104	143	401	655	0	1	0	0
potD	609	650	2958	3066	399	644	2345	4623	8	7	0	2
potE	28	27	26	23	30	31	15	31	0	0	0	0
potF	19	35	34	17	14	29	13	44	1	1	1	1
potG	23	22	32	28	11	20	16	52	1	0	0	0
potH	52	68	57	44	39	43	44	54	0	1	0	0
potI	88	105	103	93	67	87	62	71	0	1	0	0
poxB	502	836	49	57	321	698	53	88	9	28	5	3
ppa	527	732	1684	1412	400	735	1376	3548	15	9	3	3
ppc	1846	2574	2161	2277	1137	2025	1341	3914	71	81	22	6
ppdA	54	51	64	78	52	61	41	58	1	0	0	0
ppdB	232	229	242	241	219	219	115	219	1	1	0	1
ppdC	126	126	102	111	82	121	73	147	3	2	0	0
ppdD	5	6	4	7	3	6	3	15	0	0	0	0
pphA	33	49	8	17	30	44	10	24	0	0	0	0
pphB	9	7	24	14	11	14	8	40	0	0	0	0
pphC	5	9	6	12	6	8	5	17	0	0	0	0
ppiA	95	117	154	118	43	116	118	263	1	3	0	0
ppiB	254	291	466	298	201	271	395	839	4	5	4	2
ppiC	41	65	113	78	44	59	97	211	4	1	1	1
ppiD	931	1392	1513	1269	619	1195	1039	2969	34	33	12	15
ppk	761	1172	914	861	560	970	577	1549	22	47	8	3
ppnN	3418	4593	2652	3377	2446	3805	1563	3545	60	76	25	17
ppnP	1210	1231	701	640	939	1235	463	953	8	12	3	3
pppA	16	21	49	28	11	24	18	40	0	0	0	0
ppsA	3441	4214	5457	4962	2229	3659	4178	9842	96	138	42	38
ppsR	873	937	891	916	741	902	773	1224	3	7	3	2
pptA	3	5	4	3	2	4	8	21	0	0	0	0
ppx	763	1100	953	953	682	931	575	1426	14	25	6	8
pqiA	258	298	758	725	210	329	434	891	7	4	0	1
pqiB	982	1106	2708	2886	738	1126	1775	3562	12	7	5	7
pqiC	999	1141	3112	3495	937	1171	2176	3444	8	5	0	2
pqqL	41	70	417	441	36	69	412	1084	4	0	2	0
pqqU	28	22	200	146	19	25	168	311	1	1	0	1
prc	1430	1834	3464	2465	1125	1841	2296	6003	33	38	5	8
preA	4232	4377	370	433	3981	5529	286	350	50	91	20	14
preT	1840	2430	189	158	1703	2660	158	215	42	92	28	19
prfA	160	336	526	440	143	316	362	1068	9	7	5	3
prfB	1184	1508	3745	2956	911	1447	2507	6389	34	26	7	8
prfC	169	209	493	389	124	212	429	1070	3	12	2	1
prfH	5	7	9	8	5	9	1	8	0	0	0	0
priA	107	152	191	179	86	147	154	334	5	7	1	0
priB	637	1054	6087	6576	622	951	3692	8481	53	41	21	25
priC	312	271	316	302	196	294	157	282	2	0	2	2
prkB	187	279	263	277	134	245	186	496	9	9	1	2
prlC	571	771	831	771	413	617	687	1252	14	16	7	2
prlF	87	170	91	91	108	212	70	169	0	1	1	0
prmA	142	168	462	601	136	206	385	571	2	4	0	0
prmB	802	886	1757	1316	723	956	1176	2272	14	9	4	0
prmC	101	155	302	216	93	158	215	642	4	3	1	1
proA	291	402	298	279	193	309	270	628	13	15	4	1
proB	405	509	431	371	235	443	316	680	10	19	2	0
proC	652	611	552	494	510	644	341	683	5	2	4	1
proK	31	31	62	49	46	44	231	74	35	36	22	12
proL	1217	1659	884	2606	2609	1658	1085	3071	1347	1249	1652	746
proM	369	390	769	947	395	417	1240	1113	177	256	257	108
proP	5216	4830	2861	2752	4328	5060	2123	3195	31	48	20	13
proQ	3824	4221	8521	6903	2980	4353	5628	13008	49	31	13	14
proS	708	963	2541	2211	453	827	2280	4450	23	27	3	13
proV	163	215	1759	1385	171	214	1091	2396	13	6	2	1
proW	199	212	1381	1174	165	154	875	1624	6	7	0	0
proX	958	938	2314	1922	576	684	1525	3689	26	15	6	6
proY	289	361	617	442	243	320	373	676	2	4	1	0
prpB	4	0	1	3	4	6	0	8	0	0	0	0
prpC	5	9	9	5	10	4	7	12	0	1	0	0
prpD	10	11	6	8	5	7	10	16	0	2	0	0
prpE	19	42	29	40	17	39	21	45	0	3	1	0
prpR	406	303	105	80	369	325	51	77	0	0	0	0
prs	331	423	968	695	210	407	661	1973	14	20	8	10
psaA	0	3	3	2	1	4	3	7	0	0	0	0
psd	439	625	601	700	346	606	475	1074	15	17	2	0
psiE	11	8	9	16	11	8	9	18	0	0	0	0
psiF	134	126	109	103	92	144	53	104	0	1	2	1
pspA	937	954	1238	1333	721	1165	778	1602	6	2	1	1
pspB	68	100	96	114	75	97	65	122	0	1	0	1
pspC	72	82	95	95	64	81	56	110	2	0	0	0
pspD	27	23	48	36	18	38	25	48	0	0	0	0
pspE	4897	5224	4060	5042	3913	5103	1927	4627	36	26	26	14
pspF	122	137	125	130	91	118	89	171	1	0	1	1
pspG	156	125	149	125	156	161	79	151	0	0	0	0
pspH	47	66	121	66	68	78	253	571	0	0	0	0
pssA	760	1031	548	442	493	990	375	1093	25	34	8	11
pssL	92	102	112	58	65	106	70	211	1	4	0	0
pstA	46	48	101	90	34	46	66	107	0	1	0	2
pstB	69	82	143	125	30	67	103	273	3	3	1	0
pstC	32	29	73	51	21	37	62	88	1	0	0	0
pstS	69	72	137	82	32	70	127	206	1	2	1	0
psuG	24	21	20	28	10	20	29	33	1	1	1	0
psuK	4	9	5	12	5	13	4	15	0	0	0	0
psuT	72	93	93	74	76	77	63	94	1	1	0	0
pta	1536	2524	3014	2916	1113	2321	2024	7012	100	115	34	29
pth	87	100	201	127	57	104	126	236	1	0	0	0
ptrA	341	533	384	353	225	360	264	735	12	12	4	3
ptrB	271	377	287	259	178	362	193	458	2	7	1	5
ptrR	43	43	49	45	24	28	28	92	1	0	1	0
ptsA	172	235	128	140	94	203	57	177	7	7	0	5
ptsG	6360	9684	9543	9234	5412	9315	6343	16689	93	23	25	18
ptsH	583	814	586	510	477	667	431	1094	25	10	3	5
ptsI	2706	4037	2775	2848	1750	3230	2038	5067	81	100	38	31
ptsN	939	1389	1330	1132	657	1235	842	2106	25	42	8	8
ptsP	11219	12120	11415	13302	8905	12482	6705	13230	70	106	29	26
punC	310	240	166	100	221	286	141	266	4	3	0	0
punR	41	46	40	37	35	54	40	84	1	3	0	0
purA	1457	2011	2378	2743	1060	1832	1628	4946	77	88	39	29
purB	104	168	525	402	90	192	422	1302	12	8	5	2
purC	106	120	200	180	76	130	137	366	7	7	0	2
purD	55	79	242	228	54	97	171	547	6	11	1	4
purE	15	22	47	31	11	16	32	45	2	2	0	0
purF	40	63	144	97	41	56	115	286	1	2	0	1
purH	247	333	682	602	169	351	404	1158	5	5	3	1
purK	31	41	103	58	29	41	72	114	1	1	0	1
purL	183	236	721	721	158	258	549	1209	8	10	3	0
purM	49	75	206	123	35	78	107	314	3	3	1	0
purN	89	116	272	213	99	138	171	379	2	2	3	2
purR	252	267	749	640	201	304	469	1065	4	8	2	0
purT	36	46	163	129	25	67	92	134	2	2	2	2
purU	522	582	1063	815	459	688	863	1577	5	4	1	3
putA	2420	4261	3407	4408	1052	2006	2135	7044	17	6	5	12
putP	4865	4937	7352	7529	2976	3113	5487	7058	17	2	5	1
puuA	142	124	106	90	71	91	60	200	1	2	0	0
puuB	129	158	16	7	48	69	4	21	0	1	0	0
puuC	167	185	25	32	70	94	19	24	5	3	0	3
puuD	16	22	35	18	13	10	18	50	1	0	0	0
puuE	142	143	11	10	34	63	9	25	1	2	1	3
puuP	427	346	157	132	311	256	88	118	0	0	1	0
puuR	22	26	46	36	13	21	32	75	1	2	0	2
pxpA	439	588	387	463	325	456	254	600	10	15	3	2
pxpB	1470	1559	1140	1275	953	1229	573	1116	9	17	6	1
pxpC	842	1006	681	751	561	734	403	874	12	21	9	2
pykA	1275	1912	1119	1219	754	1617	838	2391	64	72	23	22
pykF	594	1015	615	509	454	944	434	1475	39	42	18	21
pyrB	109	144	248	244	70	112	153	367	1	3	3	0
pyrC	112	153	413	302	98	136	238	683	4	3	1	2
pyrD	199	297	652	478	205	291	456	875	5	0	0	0
pyrE	25	28	53	53	22	29	62	96	0	0	0	0
pyrF	599	581	890	777	567	653	587	896	3	2	2	2
pyrG	1298	1935	2071	1719	949	1704	1400	3930	35	55	22	13
pyrH	152	236	452	390	150	204	271	771	6	11	3	3
pyrI	49	64	83	87	21	45	62	178	2	2	0	0
pyrL	978	952	3127	2496	707	1041	2694	2278	2	1	0	0
pyrR	238	324	346	338	210	346	199	434	9	5	1	0
pyrS	329	502	731	653	293	483	357	935	16	15	3	9
qmcA	220	273	151	177	155	273	129	294	3	7	1	2
qorA	403	525	123	127	314	449	88	190	7	14	2	3
qorB	52	60	27	23	37	49	34	62	0	1	0	0
qseB	37	25	41	34	23	37	32	42	0	2	1	0
qseC	56	62	46	41	41	57	31	74	0	0	2	0
qseG	59	95	52	38	34	79	34	119	0	3	3	0
queA	93	140	267	185	77	112	179	420	4	1	0	3
queC	246	279	440	382	188	317	344	477	2	1	0	1
queD	24	34	62	49	33	32	41	72	1	0	0	0
queE	2004	2089	2453	2525	1778	2204	1875	2237	9	2	3	3
queF	174	204	188	212	121	180	174	393	3	6	2	4
queG	1156	1434	2013	2218	1003	1368	1106	2396	14	6	7	7
quuD	17	11	15	12	13	13	25	21	0	0	0	0
racC	2	1	9	12	0	3	11	11	0	0	0	0
racR	96	156	212	185	60	130	215	568	6	3	1	0
radA	963	1080	1348	1340	813	999	1018	1508	13	17	3	3
radD	352	451	510	515	228	371	324	613	2	7	4	0
raiA	30071	31648	12494	13146	23530	37360	11204	28488	376	377	178	112
raiZ	17420	17685	5106	5633	13281	21739	4567	14395	210	214	105	65
ral	51	3	0	2	610	1110	3593	14073	31	2	8	8
ralA	94	61	93	69	61	84	110	100	0	0	0	0
ralR	0	0	2	5	0	1	2	3	0	0	0	0
rapA	958	1092	1861	1456	615	942	1427	3092	11	20	2	3
rapZ	1199	1789	1419	1467	843	1540	813	2579	40	43	10	15
rarA	364	516	542	505	258	431	317	980	10	14	4	3
rarD	210	201	376	280	192	194	293	338	2	0	0	0
ratA	580	515	715	613	524	526	492	794	6	2	1	0
ravA	5017	5374	3216	3771	3693	4759	1678	3874	35	62	17	8
rayT	122	161	111	91	86	134	66	136	1	3	0	0
rbbA	1973	2204	1037	1135	1085	1766	745	1537	41	40	17	13
rbfA	65	94	278	245	51	108	239	557	5	5	1	0
rbn	49	62	70	58	50	56	55	128	0	0	0	0
rbsA	960	1597	1910	1999	636	1295	1256	3552	21	21	1	10
rbsB	3674	4683	3401	3900	2540	4097	2195	5569	50	62	23	10
rbsC	4195	4401	4395	4224	2941	4140	2506	4902	44	31	3	6
rbsD	9276	8865	9478	10634	6912	8472	5702	10196	41	19	6	12
rbsK	764	1110	1192	1159	601	931	718	1683	17	23	3	3
rbsR	194	295	380	297	175	252	250	581	4	9	1	3
rbsZ	1673	1833	1572	1518	1581	1843	1815	2454	20	18	11	6
rcbA	2	2	8	5	5	6	4	7	0	0	0	0
rcdA	243	290	426	493	193	254	246	349	2	2	0	1
rcdB	42	42	104	105	18	39	89	157	0	1	0	0
rclA	58	79	17	8	37	59	11	21	0	1	0	0
rclB	1	0	0	1	0	3	2	3	0	0	0	0
rclC	2	2	4	2	0	4	4	14	0	0	0	0
rclR	121	142	49	49	81	108	39	33	2	0	0	0
rcnA	23	28	57	43	28	27	37	57	0	0	0	0
rcnB	431	350	591	483	387	382	778	663	1	1	1	0
rcnR	69	62	95	100	50	71	48	97	2	0	0	0
rcsA	15	19	84	46	8	11	64	99	0	0	0	0
rcsB	695	984	849	912	504	911	739	1732	15	15	7	5
rcsC	420	572	595	540	367	529	323	840	12	10	2	3
rcsD	1234	1508	2157	1822	957	1512	1395	3414	26	44	6	6
rcsF	210	290	348	237	157	297	261	523	6	2	4	2
rdcA	2055	2099	1648	1567	1580	2148	1088	2243	25	28	7	6
rdcB	7163	6140	4270	4696	5507	6294	2047	4575	93	113	34	34
rdgB	138	198	287	245	99	147	172	456	1	5	4	3
rdgC	149	146	254	232	552	570	658	1058	1	3	3	0
rdlA	605	497	597	368	460	611	327	387	0	1	1	0
rdlB	208	196	140	87	139	202	93	123	0	1	0	0
rdlC	125	136	84	69	115	137	74	116	0	1	0	0
rdlD	29	46	35	28	27	53	37	51	1	1	0	0
recA	1501	1847	1974	1841	1000	1562	1303	3448	50	50	13	18
recB	729	1089	1073	1092	548	761	630	1658	17	23	7	2
recC	1097	1346	865	786	789	1109	534	1273	12	22	9	8
recD	449	625	728	872	283	481	383	972	11	9	2	3
recE	64	86	141	159	51	70	83	179	1	1	0	0
recF	87	151	280	211	102	196	310	531	5	5	4	3
recG	669	846	2128	1819	470	647	1707	2927	14	7	2	5
recJ	888	1237	1617	1559	750	1057	1035	2083	18	11	6	4
recN	391	532	464	394	217	432	314	668	10	10	5	3
recO	92	127	194	150	66	115	143	384	4	8	6	1
recQ	132	151	307	233	79	123	203	488	4	4	0	1
recR	473	631	1300	1221	406	624	883	2192	20	24	6	5
recT	41	61	52	50	30	40	37	59	0	0	1	0
recX	9	16	20	21	15	22	26	46	0	0	0	0
relA	7343	7891	5457	6627	5360	7429	2677	6065	38	74	17	20
relB	37	58	48	43	33	69	26	87	0	0	0	1
relE	31	54	47	47	35	61	27	98	0	3	0	0
rem	6	7	21	8	5	11	7	14	0	0	1	0
ren	6	3	2	0	2056	2414	2528	4869	10	0	7	7
renD	20	28	48	32	27	36	33	50	0	0	1	0
rep	285	271	469	376	190	310	334	660	4	2	0	5
rexA	1	0	0	0	53	60	166	288	1	0	0	1
rexB	3	0	0	0	745	919	420	990	4	0	9	9
rfaD	212	366	277	277	128	306	255	716	15	13	7	6
rfaH	10	21	17	14	12	17	12	45	0	0	0	0
rfbA	1320	1788	4762	4063	1149	1673	3018	6482	28	11	1	2
rfbB	2148	2250	5698	4665	1870	2554	4470	6950	19	10	3	2
rfbC	281	368	964	719	249	329	853	1467	5	5	1	1
rfbD	610	885	2006	1441	476	851	1581	3901	19	6	4	2
rfbX	1795	2235	6033	4311	1695	1974	3933	7254	14	10	4	0
rfe	912	837	1286	1084	795	864	919	1315	6	11	5	1
rffC	86	131	285	268	59	96	139	509	2	3	0	1
rffG	133	262	568	502	128	203	334	978	6	15	2	3
rffH	136	180	371	430	100	133	297	612	3	5	1	1
rffM	335	400	751	675	259	421	508	1114	3	4	0	2
rflP	130	160	126	74	203	233	119	224	2	0	2	0
rhaA	4	10	5	6	4	15	2	6	0	0	0	0
rhaB	0	7	4	2	1	5	2	11	0	0	0	0
rhaD	4	8	5	4	9	5	8	11	0	0	0	0
rhaM	5	6	5	6	2	10	3	9	0	0	0	0
rhaR	59	64	46	63	47	49	45	40	1	0	0	0
rhaS	47	53	27	25	29	37	17	31	0	0	0	1
rhaT	14	28	22	21	17	17	16	29	0	0	0	0
rhlB	1404	1859	3297	2634	1191	1829	1908	5016	52	51	7	12
rhlE	105	186	179	123	83	190	146	347	4	2	1	3
rhmD	46	87	23	23	50	65	10	29	1	1	1	0
rho	1225	1802	3011	2167	845	1797	1943	6103	74	71	28	26
rhoL	307	375	469	352	233	372	454	807	7	5	5	3
rhsA	199	275	147	198	154	221	94	245	3	9	2	0
rhsB	254	388	195	196	237	302	145	286	3	8	0	1
rhsC	170	268	162	165	154	280	133	295	3	4	0	4
rhsD	194	262	182	176	117	257	124	224	2	4	0	0
rhsE	25	56	29	31	31	51	39	49	0	2	0	1
rhtA	283	293	431	364	274	278	223	358	1	1	0	0
rhtB	48	66	63	69	40	44	44	68	1	1	0	0
rhtC	445	407	531	473	382	401	282	456	1	4	0	3
ribA	121	166	182	209	123	136	173	323	2	3	0	0
ribB	452	484	472	379	302	500	316	928	12	21	11	7
ribC	147	196	209	166	120	186	143	350	2	4	2	1
ribD	634	975	720	657	468	830	534	1176	14	28	12	6
ribE	244	373	316	276	183	326	228	636	8	12	4	3
ribF	1868	1743	3509	3063	1521	1722	2873	3427	11	16	3	5
ridA	855	1230	1402	1289	622	1182	859	2904	49	36	17	15
rihA	2193	3195	3258	2858	2072	2988	1717	3889	44	32	10	11
rihB	11	7	6	6	11	15	3	4	0	0	0	0
rihC	1395	1564	669	717	814	1309	310	950	28	34	16	14
rimI	45	80	90	57	17	58	85	204	3	4	0	1
rimJ	316	407	283	250	218	308	145	379	3	6	2	2
rimK	268	313	350	374	193	294	296	466	1	3	1	0
rimL	53	94	62	79	40	54	69	121	2	2	0	0
rimM	181	319	1278	1295	152	317	889	2269	37	33	12	14
rimO	123	114	489	390	97	147	484	732	4	4	1	0
rimP	1523	1734	1904	1708	1316	1623	1523	3111	16	30	6	2
rirA	7	13	22	16	11	18	13	53	0	0	0	2
rlhA	152	173	266	259	97	178	245	456	3	2	1	6
rlmA	184	194	377	349	165	174	246	431	0	2	0	0
rlmB	691	741	699	607	494	684	435	946	11	7	2	1
rlmC	51	44	69	45	27	36	67	104	1	1	0	0
rlmD	599	840	553	608	516	703	344	866	9	16	6	0
rlmE	299	301	409	389	227	307	398	766	7	14	5	1
rlmF	45	58	51	57	19	46	47	83	1	0	0	0
rlmG	72	87	119	100	55	92	86	205	3	0	1	0
rlmH	93	120	225	159	60	92	137	382	4	0	0	0
rlmI	196	202	508	399	160	216	355	606	5	8	2	0
rlmJ	457	700	558	561	352	574	426	1164	13	23	4	6
rlmL	332	536	996	851	327	559	727	1917	9	12	6	3
rlmM	239	277	340	331	170	222	255	521	7	4	1	2
rlmN	76	109	280	186	61	107	203	465	2	9	3	0
rlpA	166	245	461	389	115	184	304	821	5	3	3	1
rluA	177	164	454	500	144	167	295	604	0	0	1	2
rluB	172	192	487	438	125	195	352	760	7	6	2	1
rluC	213	200	435	335	209	211	274	472	1	4	0	5
rluD	558	708	719	623	365	646	465	1084	12	15	2	4
rluE	100	153	134	124	76	115	112	310	1	5	0	0
rluF	185	207	192	199	129	212	207	364	2	4	1	0
rmf	4451	5056	3281	4145	3485	4932	2116	2727	32	35	11	3
rmuC	669	830	1104	999	461	761	592	1508	20	9	6	1
rna	257	307	393	386	197	280	296	406	4	4	1	4
rnb	244	303	995	784	184	330	759	1820	11	5	6	3
rnc	131	180	195	111	92	131	153	368	7	5	1	0
rnd	228	278	465	329	194	266	282	756	4	1	0	0
rne	3363	4614	4165	3561	2289	3856	2491	6886	111	159	40	33
rng	766	916	1587	1699	533	766	1154	2215	11	12	4	3
rnhA	205	292	266	279	166	250	196	396	1	0	0	2
rnhB	270	322	385	310	203	290	213	600	9	11	1	1
rnk	32	47	52	33	27	49	47	99	0	2	0	0
rnlA	549	795	679	495	546	751	542	922	2	12	2	6
rnlB	320	394	470	321	272	380	217	470	4	1	2	4
rnm	89	121	179	123	84	118	118	267	1	5	1	0
rnpA	208	258	611	406	159	259	383	1459	19	17	6	2
rnpB	1398	1826	989	1970	1333	2093	1420	3322	502	421	371	221
rnr	3712	4595	3823	4257	2961	4274	2081	5718	71	100	31	37
rnt	37	62	107	89	49	74	59	195	2	6	1	0
rob	1159	1448	1051	989	898	1343	684	1758	48	38	16	6
rodZ	1336	2164	1991	1725	1063	1736	1179	3258	40	56	16	15
rof	332	343	234	216	294	395	123	375	5	8	3	2
roxA	1070	1194	1154	1135	796	1154	774	1497	24	19	8	7
rpe	165	218	252	269	113	151	148	461	1	13	1	1
rph	1436	1162	3667	2986	1056	1318	2265	2780	4	2	0	0
rpiA	599	593	474	522	360	480	420	918	11	6	4	1
rpiB	247	209	519	568	226	195	321	348	0	0	1	0
rplA	589	1173	7180	7020	501	1174	6211	17012	73	24	9	13
rplB	242	672	6592	6116	287	854	4754	17929	112	63	13	16
rplC	845	1965	17869	17215	1154	2165	10441	33439	160	88	27	46
rplD	1049	2853	22907	23816	1379	3089	12935	46171	218	112	43	49
rplE	500	1001	3396	2900	452	1187	2605	8257	101	120	38	28
rplF	519	1057	4112	3527	535	1326	2753	9111	115	149	42	27
rplI	171	238	1662	1282	181	306	1351	3033	18	18	6	3
rplJ	862	1189	8041	6982	607	1475	5852	20303	126	62	40	18
rplK	869	1484	8545	8850	771	1406	8051	17009	44	20	11	16
rplL	4718	5005	32892	33485	4418	5538	23412	47087	120	40	22	28
rplM	200	430	1662	1393	255	420	1103	3102	31	18	11	11
rplN	462	788	2773	2295	404	965	1955	6540	92	73	30	35
rplO	308	599	2678	2563	266	541	1798	5414	43	51	17	22
rplP	300	702	5856	6339	285	727	3119	14068	88	53	20	17
rplQ	278	447	1975	1704	205	452	1429	4417	40	41	22	13
rplR	235	393	1856	1600	201	431	1703	4038	51	42	14	21
rplS	280	437	2449	2086	296	378	1616	2996	21	11	6	4
rplT	470	829	2262	1653	526	1006	1542	5589	45	42	18	16
rplU	489	677	1691	1323	335	654	1357	3919	24	16	9	4
rplV	372	796	7968	8021	402	1022	4528	16875	85	56	17	11
rplW	450	1415	10108	11487	628	1663	5743	24285	131	92	29	10
rplX	144	319	1142	864	166	365	1011	3150	23	45	19	10
rplY	266	397	1720	1559	263	402	1392	2784	17	11	6	4
rpmA	280	407	1183	753	208	405	797	2690	16	21	7	5
rpmB	114	159	330	228	104	149	288	795	17	5	4	9
rpmC	251	466	3943	4296	223	509	2104	8830	58	30	12	6
rpmD	160	320	1217	1096	140	251	869	2676	27	28	8	5
rpmE	103	164	449	422	67	150	396	938	11	8	4	1
rpmF	217	194	878	649	146	242	565	1287	11	6	4	0
rpmG	139	179	415	294	124	211	297	884	12	14	11	5
rpmH	251	309	999	673	194	297	760	1861	24	15	9	6
rpmI	481	625	1828	1223	458	633	1114	3022	17	16	13	8
rpmJ	329	456	1737	1775	321	418	1416	2475	22	12	6	1
rpnA	14	22	18	16	23	19	24	35	1	0	1	0
rpnB	21	38	34	44	19	22	20	46	1	0	0	0
rpnC	449	452	547	634	430	589	395	508	3	1	0	1
rpnD	72	88	59	93	58	67	52	103	0	0	1	1
rpnE	118	241	65	81	125	198	33	108	4	14	2	2
rpoA	728	1305	4771	4438	587	1231	3270	10841	157	175	81	56
rpoB	3585	5559	18036	17391	2502	5410	12025	38244	252	266	57	66
rpoC	2876	4497	12468	11942	1630	3527	7465	28318	215	196	63	77
rpoD	699	1024	1775	1631	425	946	1365	3965	39	43	16	11
rpoE	2177	2424	2912	2955	1974	2343	1945	3651	20	16	3	6
rpoH	720	1080	1157	944	551	1000	854	2510	45	57	11	18
rpoN	2258	3299	2824	3137	1403	2755	1862	5355	89	125	23	22
rpoS	47420	44286	39637	36355	28968	39338	23757	49912	214	111	34	42
rpoZ	371	520	687	638	258	472	479	1344	14	15	7	5
rppH	6783	6250	7684	9579	5355	7052	5572	6843	27	11	3	2
rprA	2019	1894	1578	1096	2402	3466	1319	1982	0	2	0	0
rpsA	1551	2118	8013	7465	1128	1917	6086	16543	172	124	63	56
rpsB	386	493	1847	1906	257	478	1727	4155	42	42	16	9
rpsC	395	905	9862	8645	452	1261	4938	24493	131	114	30	38
rpsD	784	1297	4571	4031	607	1451	2961	10696	137	135	56	37
rpsE	287	579	2954	2627	301	715	1963	6912	86	78	24	37
rpsF	2375	3199	22989	21010	2522	3250	17561	23353	88	68	21	32
rpsG	883	1226	4562	4264	833	1148	3650	8697	57	59	29	20
rpsH	729	1406	4552	3812	682	1514	3290	11035	136	157	49	36
rpsI	125	245	974	850	144	287	691	2181	37	17	9	11
rpsI_3'	17	25	165	160	22	54	102	404	7	3	2	1
rpsJ	911	2145	19922	19259	1048	2721	10627	40569	179	91	46	50
rpsK	914	1346	3891	3338	692	1135	2627	6176	52	72	22	17
rpsL	157	247	1428	1149	167	299	1194	3195	18	23	10	11
rpsM	925	1359	3724	3697	684	1450	2404	7736	119	84	34	29
rpsN	465	891	2989	2692	496	1060	1892	6370	71	96	27	26
rpsO	218	322	1233	1025	196	371	933	2683	20	10	6	4
rpsP	263	338	1377	1150	179	346	822	2451	32	27	15	6
rpsQ	151	223	2141	2046	118	294	1341	5236	38	15	22	7
rpsR	163	256	1332	1179	117	272	1078	2933	16	6	4	10
rpsS	530	1148	10292	10266	667	1438	6028	22710	113	69	29	29
rpsT	677	841	3117	1650	568	941	2368	6041	23	5	10	8
rpsU	864	1038	2784	1627	784	1089	1832	5689	14	19	12	15
rraA	1258	1509	1123	1544	1015	1433	832	1713	47	36	12	20
rraB	4330	5270	4000	4728	3205	4627	2333	5260	38	22	7	14
rrfA	0	0	7	2	2	2	1	6	4	1	0	0
rrfB	1	3	2	5	1	1	5	4	1	1	0	1
rrfC	6	2	5	8	2	3	9	10	0	1	0	0
