	Hfq_30_II_cutadapt_bwa	Hfq_30_I_cutadapt_bwa	Hfq_60_II_cutadapt_bwa	Hfq_60_I_cutadapt_bwa	Hfq_lambda_30_II_cutadapt_bwa	Hfq_lambda_30_I_cutadapt_bwa	Hfq_lambda_60_II_cutadapt_bwa	Hfq_lambda_60_I_cutadapt_bwa	wt30_II_cutadapt_bwa	wt30_I_cutadapt_bwa	wt_lambda_30_II_cutadapt_bwa	wt_lambda_30_I_cutadapt_bwa
mipA	610	739	1833	1508	448	575	1319	3086	13	3	6	4
mlaA	326	310	594	409	276	370	454	759	2	6	2	2
mlaB	113	133	136	136	102	127	102	259	1	1	2	3
mlaC	146	217	210	191	90	212	151	450	2	6	3	4
mlaD	286	266	345	289	228	261	202	449	0	5	2	1
mlaE	948	852	1110	1092	721	838	654	1172	0	7	3	3
mlaF	983	919	1281	1097	709	864	740	1286	1	9	0	0
mlc	1292	1633	1520	1870	954	1268	1036	2108	16	20	5	2
mliC	22	30	24	22	10	38	36	64	1	2	1	0
mlrA	52	94	61	24	32	71	29	66	1	1	2	0
mltA	220	284	271	223	190	256	189	374	5	4	4	0
mltB	41	65	78	55	40	50	50	150	4	0	0	0
mltC	1306	1291	2293	1695	1167	1433	1675	2397	10	2	1	2
mltD	410	459	1020	828	291	480	612	1398	11	14	4	5
mltF	40	36	88	86	31	50	67	108	1	0	0	0
mltG	338	406	457	489	311	419	319	685	3	9	1	5
mmuM	408	456	298	388	283	395	166	331	8	5	3	5
mmuP	94	115	105	86	93	125	71	91	0	0	2	0
mnaT	194	210	219	231	129	164	118	231	2	4	0	0
mngA	29	29	12	10	16	38	10	24	0	0	0	0
mngB	286	328	240	277	250	348	151	305	4	0	2	0
mngR	152	184	218	212	144	203	152	310	1	3	0	0
mnmA	357	523	882	632	276	452	503	1403	16	14	4	9
mnmC	234	316	410	352	224	303	340	688	5	8	1	2
mnmE	265	292	329	289	200	292	248	506	3	4	0	0
mnmG	407	616	934	713	273	508	592	1941	18	23	3	3
mntH	134	136	219	188	86	93	173	250	0	1	1	0
mntP	8	12	4	5	6	22	3	11	1	0	0	0
mntR	869	892	1624	1572	737	892	1008	1709	9	6	2	4
mntS	167	282	384	302	142	263	280	624	3	8	6	2
moaA	448	567	357	284	256	384	248	701	9	16	1	6
moaB	350	374	118	127	208	347	86	198	4	8	0	0
moaC	646	676	205	218	370	553	149	333	7	12	2	1
moaD	287	304	121	114	179	248	88	140	4	3	3	0
moaE	737	771	293	259	499	711	205	413	8	9	3	3
mobA	76	79	67	86	51	91	45	116	1	1	0	0
mobB	70	81	66	55	53	78	36	62	1	0	0	0
mocA	249	412	80	81	193	360	61	128	4	5	1	2
modA	2248	2131	1447	1474	1461	1946	861	1901	27	27	7	12
modB	3564	2792	2166	1975	2850	2921	1358	1973	13	14	3	10
modC	709	781	482	584	489	713	359	705	4	16	1	3
modE	658	823	901	837	530	781	631	1187	11	1	1	1
modF	202	271	326	276	145	224	158	541	4	5	2	0
moeA	326	411	363	341	201	336	262	538	13	12	2	1
moeB	149	185	157	152	84	123	104	281	4	8	0	4
mog	446	497	538	570	288	477	383	872	12	10	4	2
mokA	0	1	1	1	0	2	0	2	0	0	0	0
mokB	67	62	57	31	49	71	47	70	2	2	2	0
mokC	37	75	34	26	37	63	31	62	0	0	0	1
motA	12477	13536	12826	13579	9645	11911	6635	15759	139	203	66	43
motB	14086	14347	12722	13277	10165	13206	7013	15930	104	222	60	37
motR	27958	18523	21006	15272	17413	24041	15688	20360	35	26	19	16
mpaA	109	169	133	122	121	136	73	195	3	4	2	1
mpl	518	644	654	573	332	532	465	930	10	15	8	3
mppA	476	509	347	330	350	550	264	647	6	10	8	4
mprA	411	507	1262	958	351	582	975	1859	6	5	2	2
mqo	143	157	783	669	113	155	623	1249	1	4	0	2
mqsA	372	321	348	260	280	355	237	501	0	2	0	0
mqsR	659	613	737	483	546	707	564	1029	1	1	0	2
mraY	1123	1580	1185	1113	836	1164	661	1491	18	31	9	4
mraZ	391	433	367	384	248	455	275	720	6	5	3	4
mrcA	402	453	1671	1355	381	469	1188	1503	4	7	0	3
mrcB	268	372	448	378	205	361	319	852	2	13	3	3
mrdA	228	275	648	431	186	232	484	959	7	6	0	1
mrdB	91	167	439	358	115	169	281	728	2	2	2	3
mreB	807	877	1195	1038	542	797	946	1971	23	16	4	7
mreC	392	487	775	646	306	470	677	1176	9	16	2	4
